Invoice ID,Branch,City,Customer Type,Gender,Product Line,Unit Price,Quantity,Tax 5%,Total,Date,Time,Payment,COGS,Gross Margin %,Gross Income,Rating,Customer ID,Age,Membership Duration (Years),Visit Frequency
INV000052,C,Mandalay,Normal,Female,Home and lifestyle,49.05,6,14.71,309.01,2019-02-21,10:00,Cash,294.3,4.76,14.71,8.2,C00575,32,1,21
INV000053,C,Mandalay,Member,Female,Electronic accessories,70.83,4,14.17,297.49,2019-02-22,11:30,Credit card,283.32,4.76,14.17,8.5,C00478,56,4,10
INV000054,C,Mandalay,Member,Female,Food and beverages,32.84,3,4.93,103.45,2019-02-23,12:30,Cash,98.52000000000001,4.76,4.93,7.4,C00806,30,4,17
INV000055,A,Yangon,Normal,Male,Food and beverages,36.65,5,9.16,192.41,2019-02-24,12:45,Credit card,183.25,4.76,9.16,9.8,C00872,55,6,12
INV000056,B,Naypyitaw,Normal,Male,Electronic accessories,80.0,4,16.0,336.0,2019-02-25,15:45,Credit card,320.0,4.76,16.0,9.7,C00356,21,5,9
INV000057,C,Mandalay,Member,Female,Electronic accessories,68.35,3,10.25,215.3,2019-02-26,13:30,Ewallet,205.05,4.76,10.25,7.3,C00950,57,5,19
INV000058,A,Yangon,Member,Female,Health and beauty,37.65,4,7.53,158.13,2019-02-27,18:15,Cash,150.6,4.76,7.53,7.9,C00475,51,1,15
INV000059,A,Yangon,Normal,Male,Home and lifestyle,36.52,2,3.65,76.69,2019-02-28,20:30,Credit card,73.03999999999999,4.76,3.65,8.5,C00156,38,1,11
INV000060,C,Mandalay,Normal,Male,Health and beauty,39.73,3,5.96,125.15,2019-03-01,14:00,Ewallet,119.19000000000001,4.76,5.96,7.6,C00435,36,1,17
INV000061,B,Naypyitaw,Member,Female,Home and lifestyle,36.75,3,5.51,115.76,2019-03-02,10:30,Ewallet,110.25,4.76,5.51,7.3,C00055,56,3,14
INV000062,A,Yangon,Member,Male,Fashion accessories,50.46,8,20.18,423.86,2019-03-03,20:45,Cash,403.68,4.76,20.18,7.4,C00229,20,3,5
INV000063,B,Naypyitaw,Member,Female,Electronic accessories,61.53,7,21.54,452.25,2019-03-04,14:00,Credit card,430.71,4.76,21.54,9.4,C00624,36,4,22
INV000064,C,Mandalay,Member,Female,Food and beverages,25.5,3,3.83,80.33,2019-03-05,11:00,Ewallet,76.5,4.76,3.83,7.6,C00734,26,2,16
INV000065,A,Yangon,Member,Male,Electronic accessories,70.57,4,14.11,296.39,2019-03-06,8:15,Ewallet,282.28,4.76,14.11,8.2,C00237,42,7,13
INV000066,A,Yangon,Normal,Female,Home and lifestyle,50.75,4,10.15,213.15,2019-03-07,9:45,Ewallet,203.0,4.76,10.15,9.3,C00041,55,2,21
INV000067,B,Naypyitaw,Normal,Male,Fashion accessories,46.28,3,6.94,145.78,2019-03-08,12:30,Cash,138.84,4.76,6.94,9.7,C00922,38,2,15
INV000068,A,Yangon,Member,Male,Food and beverages,34.91,4,6.98,146.62,2019-03-09,18:30,Credit card,139.64000000000001,4.76,6.98,9.8,C00055,64,8,9
INV000069,B,Naypyitaw,Member,Female,Electronic accessories,73.04,1,3.65,76.69,2019-03-10,18:00,Credit card,73.03999999999999,4.76,3.65,7.3,C00154,19,5,13
INV000070,A,Yangon,Member,Female,Health and beauty,32.4,5,8.1,170.1,2019-03-11,19:30,Cash,162.0,4.76,8.1,6.0,C00524,36,5,16
INV000071,C,Mandalay,Normal,Male,Health and beauty,45.32,4,9.06,190.34,2019-03-12,8:30,Ewallet,181.28,4.76,9.06,8.8,C00710,25,9,22
INV000072,B,Naypyitaw,Normal,Male,Home and lifestyle,50.6,3,7.59,159.39,2019-03-13,8:30,Cash,151.79999999999998,4.76,7.59,8.3,C00250,24,5,11
INV000073,A,Yangon,Normal,Female,Electronic accessories,76.78,4,15.36,322.48,2019-03-14,15:30,Ewallet,307.12,4.76,15.36,6.3,C00805,60,8,16
INV000074,B,Naypyitaw,Member,Female,Health and beauty,26.44,7,9.25,194.33,2019-03-15,18:30,Ewallet,185.08,4.76,9.25,8.1,C00416,49,3,11
INV000075,A,Yangon,Member,Male,Food and beverages,37.9,8,15.16,318.36,2019-03-16,20:15,Cash,303.2,4.76,15.16,9.4,C00146,54,9,20
INV000076,A,Yangon,Member,Male,Fashion accessories,42.39,1,2.12,44.51,2019-03-17,15:45,Credit card,42.39,4.76,2.12,9.8,C00061,54,6,11
INV000077,C,Mandalay,Member,Male,Fashion accessories,50.69,5,12.67,266.12,2019-03-18,20:15,Cash,253.45000000000002,4.76,12.67,6.2,C00825,43,9,21
INV000078,C,Mandalay,Member,Male,Fashion accessories,43.34,5,10.84,227.54,2019-03-19,17:30,Cash,216.7,4.76,10.84,8.0,C00145,41,3,7
INV000079,A,Yangon,Member,Male,Food and beverages,28.19,4,5.64,118.4,2019-03-20,10:00,Cash,112.76,4.76,5.64,9.4,C00521,32,8,9
INV000080,C,Mandalay,Normal,Female,Electronic accessories,72.92,3,10.94,229.7,2019-03-21,9:15,Ewallet,218.76,4.76,10.94,6.9,C00973,45,5,17
INV000081,C,Mandalay,Normal,Female,Food and beverages,32.92,6,9.88,207.4,2019-03-22,19:00,Credit card,197.52,4.76,9.88,9.5,C00681,30,9,14
INV000082,A,Yangon,Normal,Female,Home and lifestyle,48.2,5,12.05,253.05,2019-03-23,18:00,Cash,241.0,4.76,12.05,9.6,C00082,53,2,18
INV000083,C,Mandalay,Normal,Male,Sports and travel,64.09,1,3.2,67.29,2019-03-24,15:30,Cash,64.09,4.76,3.2,8.5,C00856,62,3,20
INV000084,A,Yangon,Member,Female,Fashion accessories,37.55,1,1.88,39.43,2019-03-25,19:45,Credit card,37.55,4.76,1.88,9.7,C00989,39,4,24
INV000085,C,Mandalay,Normal,Female,Electronic accessories,67.07,5,16.77,352.12,2019-03-26,20:45,Credit card,335.35,4.76,16.77,6.3,C00033,23,3,15
INV000086,C,Mandalay,Normal,Male,Electronic accessories,79.55,4,15.91,334.11,2019-03-27,14:00,Ewallet,318.2,4.76,15.91,7.2,C00800,19,4,15
INV000087,A,Yangon,Normal,Female,Health and beauty,42.15,2,4.21,88.51,2019-03-28,13:30,Ewallet,84.30000000000001,4.76,4.21,7.8,C00507,18,6,19
INV000088,C,Mandalay,Normal,Female,Home and lifestyle,51.22,1,2.56,53.78,2019-03-29,9:30,Credit card,51.22,4.76,2.56,9.9,C00430,42,1,12
INV000089,C,Mandalay,Normal,Female,Fashion accessories,41.75,2,4.17,87.67,2019-03-30,10:45,Cash,83.5,4.76,4.17,7.8,C00734,31,7,21
INV000090,B,Naypyitaw,Member,Female,Sports and travel,64.69,3,9.7,203.77,2019-03-31,12:00,Cash,194.07000000000002,4.76,9.7,9.2,C00395,30,1,12
INV000091,B,Naypyitaw,Normal,Female,Fashion accessories,48.93,4,9.79,205.51,2019-04-01,18:15,Credit card,195.72,4.76,9.79,6.4,C00401,29,9,18
INV000092,A,Yangon,Member,Female,Fashion accessories,47.13,4,9.43,197.95,2019-04-02,8:00,Ewallet,188.51999999999998,4.76,9.43,7.4,C00929,30,4,11
INV000093,A,Yangon,Normal,Female,Electronic accessories,71.38,4,14.28,299.8,2019-04-03,16:15,Ewallet,285.52000000000004,4.76,14.28,6.2,C00416,58,2,16
INV000094,C,Mandalay,Normal,Male,Electronic accessories,66.01,7,23.1,485.17,2019-04-04,10:30,Ewallet,462.07,4.76,23.1,6.7,C00014,28,2,16
INV000095,A,Yangon,Member,Female,Food and beverages,32.86,4,6.57,138.01,2019-04-05,10:45,Cash,131.44,4.76,6.57,6.1,C00723,39,5,13
INV000096,B,Naypyitaw,Member,Male,Sports and travel,61.88,3,9.28,194.92,2019-04-06,14:45,Ewallet,185.64,4.76,9.28,9.5,C00159,41,4,9
INV000097,B,Naypyitaw,Member,Female,Sports and travel,67.84,6,20.35,427.39,2019-04-07,13:30,Cash,407.03999999999996,4.76,20.35,10.0,C00186,29,3,17
INV000098,B,Naypyitaw,Member,Female,Food and beverages,22.28,5,5.57,116.97,2019-04-08,9:30,Ewallet,111.4,4.76,5.57,9.4,C00553,64,8,11
INV000099,B,Naypyitaw,Member,Male,Electronic accessories,75.24,3,11.29,237.01,2019-04-09,15:45,Ewallet,225.72,4.76,11.29,6.9,C00287,28,3,18
INV000100,A,Yangon,Normal,Male,Food and beverages,28.52,4,5.7,119.78,2019-04-10,16:45,Cash,114.08,4.76,5.7,6.7,C00121,60,5,19
INV000101,B,Naypyitaw,Member,Male,Food and beverages,23.81,7,8.33,175.0,2019-04-11,12:00,Ewallet,166.67,4.76,8.33,8.3,C00012,59,4,22
INV000102,C,Mandalay,Member,Male,Home and lifestyle,53.15,1,2.66,55.81,2019-04-12,16:30,Credit card,53.150000000000006,4.76,2.66,7.0,C00427,40,6,24
INV000103,A,Yangon,Member,Male,Fashion accessories,46.38,3,6.96,146.1,2019-04-13,13:30,Cash,139.14,4.76,6.96,8.6,C00119,43,2,22
INV000104,B,Naypyitaw,Normal,Female,Health and beauty,36.75,1,1.84,38.59,2019-04-14,11:00,Ewallet,36.75,4.76,1.84,6.9,C00976,31,5,20
INV000105,B,Naypyitaw,Normal,Male,Electronic accessories,74.01,3,11.1,233.13,2019-04-15,16:00,Ewallet,222.03,4.76,11.1,7.2,C00971,21,2,10
INV000106,A,Yangon,Member,Male,Fashion accessories,43.01,6,12.9,270.96,2019-04-16,16:00,Credit card,258.06,4.76,12.9,8.5,C00711,32,5,23
INV000107,B,Naypyitaw,Normal,Female,Health and beauty,34.06,4,6.81,143.05,2019-04-17,16:30,Ewallet,136.24,4.76,6.81,9.5,C00816,19,6,16
INV000108,A,Yangon,Member,Female,Food and beverages,31.56,3,4.73,99.41,2019-04-18,9:45,Credit card,94.67999999999999,4.76,4.73,8.1,C00021,40,7,20
INV000109,B,Naypyitaw,Member,Female,Sports and travel,53.01,4,10.6,222.64,2019-04-19,12:45,Cash,212.04,4.76,10.6,7.2,C00751,45,3,12
INV000110,A,Yangon,Normal,Male,Sports and travel,59.52,6,17.86,374.98,2019-04-20,20:30,Credit card,357.12,4.76,17.86,7.2,C00241,59,8,8
INV000111,B,Naypyitaw,Normal,Female,Fashion accessories,47.36,3,7.1,149.18,2019-04-21,12:15,Ewallet,142.08,4.76,7.1,9.2,C00783,27,8,14
INV000112,C,Mandalay,Member,Female,Health and beauty,40.7,4,8.14,170.94,2019-04-22,16:15,Credit card,162.8,4.76,8.14,8.5,C00993,22,1,7
INV000113,C,Mandalay,Normal,Female,Health and beauty,40.22,2,4.02,84.46,2019-04-23,18:15,Ewallet,80.44,4.76,4.02,7.6,C00509,42,2,7
INV000114,B,Naypyitaw,Member,Female,Electronic accessories,69.26,6,20.78,436.34,2019-04-24,13:15,Credit card,415.55999999999995,4.76,20.78,9.1,C00036,57,5,5
INV000115,B,Naypyitaw,Member,Male,Health and beauty,40.17,3,6.03,126.54,2019-04-25,19:30,Ewallet,120.51,4.76,6.03,7.1,C00712,20,6,16
INV000116,A,Yangon,Member,Female,Home and lifestyle,46.15,2,4.62,96.92,2019-04-26,8:30,Cash,92.3,4.76,4.62,7.8,C00116,25,6,16
INV000117,A,Yangon,Member,Female,Food and beverages,25.43,3,3.81,80.1,2019-04-27,19:00,Credit card,76.28999999999999,4.76,3.81,9.7,C00237,40,3,12
INV000118,A,Yangon,Normal,Male,Sports and travel,60.41,6,18.12,380.58,2019-04-28,12:45,Cash,362.46,4.76,18.12,6.6,C00509,31,4,5
INV000119,A,Yangon,Member,Female,Food and beverages,30.44,2,3.04,63.92,2019-04-29,14:15,Cash,60.88,4.76,3.04,8.1,C00419,39,6,9
INV000120,B,Naypyitaw,Normal,Female,Sports and travel,63.54,4,12.71,266.87,2019-04-30,13:30,Credit card,254.16,4.76,12.71,7.2,C00073,32,5,7
INV000121,A,Yangon,Member,Female,Electronic accessories,74.56,6,22.37,469.73,2019-05-01,13:15,Ewallet,447.36,4.76,22.37,7.3,C00483,58,6,17
INV000122,B,Naypyitaw,Member,Female,Food and beverages,22.01,1,1.1,23.11,2019-05-02,20:45,Ewallet,22.009999999999998,4.76,1.1,9.7,C00532,35,6,15
INV000123,B,Naypyitaw,Normal,Male,Sports and travel,59.6,4,11.92,250.32,2019-05-03,15:30,Ewallet,238.4,4.76,11.92,7.7,C00905,52,5,13
INV000124,C,Mandalay,Member,Male,Fashion accessories,37.6,3,5.64,118.44,2019-05-04,15:00,Ewallet,112.8,4.76,5.64,8.5,C00820,46,4,8
INV000125,B,Naypyitaw,Normal,Male,Electronic accessories,64.15,4,12.83,269.43,2019-05-05,20:15,Ewallet,256.6,4.76,12.83,6.0,C00386,44,5,10
INV000126,A,Yangon,Normal,Male,Electronic accessories,60.99,4,12.2,256.16,2019-05-06,12:00,Cash,243.96000000000004,4.76,12.2,6.3,C00672,53,1,7
INV000127,A,Yangon,Member,Female,Home and lifestyle,44.03,3,6.6,138.69,2019-05-07,9:45,Credit card,132.09,4.76,6.6,7.5,C00436,46,6,14
INV000128,C,Mandalay,Normal,Male,Food and beverages,29.8,2,2.98,62.58,2019-05-08,8:15,Ewallet,59.6,4.76,2.98,7.1,C00242,57,5,15
INV000129,B,Naypyitaw,Member,Female,Home and lifestyle,49.85,4,9.97,209.37,2019-05-09,16:30,Credit card,199.4,4.76,9.97,8.6,C00435,41,3,21
INV000130,C,Mandalay,Member,Male,Food and beverages,31.3,7,10.96,230.06,2019-05-10,13:45,Cash,219.1,4.76,10.96,6.1,C00992,45,1,12
INV000131,C,Mandalay,Member,Male,Health and beauty,35.69,3,5.35,112.42,2019-05-11,17:30,Cash,107.07000000000001,4.76,5.35,9.6,C00778,38,4,16
INV000132,B,Naypyitaw,Member,Female,Electronic accessories,65.6,6,19.68,413.28,2019-05-12,9:30,Ewallet,393.59999999999997,4.76,19.68,7.5,C00827,31,9,22
INV000133,C,Mandalay,Member,Male,Fashion accessories,48.73,4,9.75,204.67,2019-05-13,9:00,Ewallet,194.92,4.76,9.75,6.9,C00638,25,8,18
INV000134,C,Mandalay,Normal,Male,Sports and travel,58.2,2,5.82,122.22,2019-05-14,13:45,Ewallet,116.4,4.76,5.82,8.9,C00770,46,5,19
INV000135,A,Yangon,Member,Male,Electronic accessories,71.2,5,17.8,373.8,2019-05-15,14:00,Cash,356.0,4.76,17.8,9.5,C00367,42,5,19
INV000136,A,Yangon,Member,Male,Electronic accessories,83.01,1,4.15,87.16,2019-05-16,10:00,Credit card,83.00999999999999,4.76,4.15,7.6,C00874,51,9,14
INV000137,C,Mandalay,Member,Female,Fashion accessories,46.39,3,6.96,146.13,2019-05-17,17:15,Ewallet,139.17,4.76,6.96,6.0,C00633,51,5,24
INV000138,A,Yangon,Member,Female,Home and lifestyle,57.27,4,11.45,240.53,2019-05-18,11:15,Cash,229.08,4.76,11.45,8.4,C00805,55,5,12
INV000139,A,Yangon,Normal,Female,Electronic accessories,67.24,4,13.45,282.41,2019-05-19,12:45,Cash,268.96000000000004,4.76,13.45,8.2,C00900,41,2,22
INV000140,B,Naypyitaw,Member,Male,Sports and travel,72.79,3,10.92,229.29,2019-05-20,19:15,Cash,218.37,4.76,10.92,8.8,C00927,53,3,20
INV000141,B,Naypyitaw,Normal,Male,Fashion accessories,47.4,3,7.11,149.31,2019-05-21,16:45,Cash,142.2,4.76,7.11,8.6,C00401,23,4,24
INV000142,C,Mandalay,Normal,Male,Home and lifestyle,43.17,7,15.11,317.3,2019-05-22,20:30,Ewallet,302.19,4.76,15.11,8.3,C00630,62,6,21
INV000143,C,Mandalay,Member,Female,Home and lifestyle,49.04,6,14.71,308.95,2019-05-23,17:45,Cash,294.24,4.76,14.71,8.9,C00931,18,8,8
INV000144,C,Mandalay,Member,Female,Fashion accessories,51.95,2,5.2,109.1,2019-05-24,15:00,Ewallet,103.89999999999999,4.76,5.2,6.3,C00876,59,6,11
INV000145,A,Yangon,Member,Female,Sports and travel,60.87,6,18.26,383.48,2019-05-25,17:30,Ewallet,365.22,4.76,18.26,7.4,C00690,50,7,10
INV000146,C,Mandalay,Member,Female,Electronic accessories,69.15,4,13.83,290.43,2019-05-26,19:45,Cash,276.6,4.76,13.83,8.9,C00314,38,2,9
INV000147,B,Naypyitaw,Member,Female,Electronic accessories,66.96,3,10.04,210.92,2019-05-27,14:00,Ewallet,200.88,4.76,10.04,9.9,C00573,51,9,11
INV000148,C,Mandalay,Normal,Male,Health and beauty,48.15,5,12.04,252.79,2019-05-28,9:15,Cash,240.75,4.76,12.04,9.4,C00435,56,6,16
INV000149,A,Yangon,Member,Female,Fashion accessories,41.86,3,6.28,131.86,2019-05-29,17:30,Cash,125.58000000000001,4.76,6.28,9.0,C00655,57,5,19
INV000150,C,Mandalay,Member,Male,Sports and travel,63.01,6,18.9,396.96,2019-05-30,15:45,Ewallet,378.06,4.76,18.9,7.6,C00227,23,7,24
INV000151,B,Naypyitaw,Member,Male,Home and lifestyle,54.6,5,13.65,286.65,2019-05-31,15:30,Ewallet,273.0,4.76,13.65,7.6,C00944,63,8,22
INV000152,A,Yangon,Normal,Male,Sports and travel,56.66,4,11.33,237.97,2019-06-01,15:15,Ewallet,226.64,4.76,11.33,8.4,C00520,54,5,8
INV000153,C,Mandalay,Normal,Male,Fashion accessories,44.6,4,8.92,187.32,2019-06-02,20:15,Cash,178.4,4.76,8.92,9.9,C00571,44,5,7
INV000154,B,Naypyitaw,Member,Female,Health and beauty,42.26,5,10.56,221.86,2019-06-03,9:15,Credit card,211.3,4.76,10.56,9.0,C00377,28,2,19
INV000155,B,Naypyitaw,Normal,Female,Health and beauty,42.73,4,8.55,179.47,2019-06-04,8:00,Credit card,170.92,4.76,8.55,6.6,C00041,64,2,15
INV000156,B,Naypyitaw,Normal,Female,Fashion accessories,40.8,5,10.2,214.2,2019-06-05,9:30,Credit card,204.0,4.76,10.2,6.7,C00201,37,1,12
INV000157,A,Yangon,Normal,Male,Home and lifestyle,52.57,4,10.51,220.79,2019-06-06,16:30,Ewallet,210.28,4.76,10.51,9.6,C00115,50,6,6
INV000158,B,Naypyitaw,Member,Male,Fashion accessories,45.9,3,6.88,144.58,2019-06-07,18:45,Ewallet,137.70000000000002,4.76,6.88,6.2,C00856,31,6,20
INV000159,C,Mandalay,Member,Male,Fashion accessories,49.44,4,9.89,207.65,2019-06-08,11:15,Cash,197.76,4.76,9.89,6.5,C00676,57,1,13
INV000160,A,Yangon,Normal,Female,Sports and travel,57.37,4,11.47,240.95,2019-06-09,18:45,Cash,229.48,4.76,11.47,8.7,C00622,39,9,20
INV000161,A,Yangon,Normal,Female,Health and beauty,41.77,3,6.27,131.58,2019-06-10,11:00,Credit card,125.31000000000002,4.76,6.27,8.0,C00201,26,4,7
INV000162,C,Mandalay,Normal,Female,Health and beauty,46.97,1,2.35,49.32,2019-06-11,19:15,Cash,46.97,4.76,2.35,9.1,C00873,36,4,12
INV000163,C,Mandalay,Normal,Female,Fashion accessories,43.72,5,10.93,229.53,2019-06-12,15:15,Credit card,218.6,4.76,10.93,9.0,C00769,25,7,10
